negara,provinsi,tanggal,terkonfirmasi,meninggal,sembuh,aktif
Russia,Altai Republic,2021-01-02,13972,103,13136,733
Russia,Amur Oblast,2021-01-02,16140,105,14500,1535
Russia,Arkhangelsk Oblast,2021-01-02,44020,443,34849,8728
Russia,Astrakhan Oblast,2021-01-02,19361,393,12815,6153
Russia,Bashkortostan Republic,2021-01-02,19403,145,15187,4071
Russia,Belgorod Oblast,2021-01-02,22201,266,20161,1774
Russia,Bryansk Oblast,2021-01-02,23544,216,21648,1680
Russia,Buryatia Republic,2021-01-02,26091,599,23508,1984
Russia,Chechen Republic,2021-01-02,8895,93,4701,4101
Russia,Chelyabinsk Oblast,2021-01-02,35309,547,23276,11486
Russia,Chukotka Autonomous Okrug,2021-01-02,539,4,480,55
Russia,Chuvashia Republic,2021-01-02,16598,549,14960,1089
Russia,Dagestan Republic,2021-01-02,23781,1129,20449,2203
Russia,Ingushetia Republic,2021-01-02,12302,141,10234,1927
Russia,Irkutsk Oblast,2021-01-02,41056,1245,36305,3506
Russia,Ivanovo Oblast,2021-01-02,21633,523,16521,4589
Russia,Jewish Autonomous Okrug,2021-01-02,3779,72,2983,724
Russia,Kabardino-Balkarian Republic,2021-01-02,16026,263,14248,1515
Russia,Kaliningrad Oblast,2021-01-02,18221,178,16360,1683
Russia,Kalmykia Republic,2021-01-02,14982,200,12519,2263
Russia,Kaluga Oblast,2021-01-02,21392,172,19969,1251
Russia,Kamchatka Krai,2021-01-02,10252,82,9040,1130
Russia,Karachay-Cherkess Republic,2021-01-02,15302,41,13746,1515
Russia,Karelia Republic,2021-01-02,28271,166,21985,6120
Russia,Kemerovo Oblast,2021-01-02,26024,472,23128,2424
Russia,Khabarovsk Krai,2021-01-02,35756,204,31491,4061
Russia,Khakassia Republic,2021-01-02,17795,269,14830,2696
Russia,Khanty-Mansi Autonomous Okrug,2021-01-02,41740,546,38135,3059
Russia,Kirov Oblast,2021-01-02,26105,231,19689,6185
Russia,Komi Republic,2021-01-02,30856,579,28796,1481
Russia,Kostroma Oblast,2021-01-02,15201,236,11410,3555
Russia,Krasnodar Krai,2021-01-02,28108,961,18889,8258
Russia,Krasnoyarsk Krai,2021-01-02,47156,1740,41890,3526
Russia,Kurgan Oblast,2021-01-02,12208,170,10753,1285
Russia,Kursk Oblast,2021-01-02,21154,306,19144,1704
Russia,Leningrad Oblast,2021-01-02,24279,271,21876,2132
Russia,Lipetsk Oblast,2021-01-02,16357,260,12401,3696
Russia,Magadan Oblast,2021-01-02,7085,65,6580,440
Russia,Mari El Republic,2021-01-02,9284,121,8264,899
Russia,Mordovia Republic,2021-01-02,13666,95,11294,2277
Russia,Moscow,2021-01-02,821128,11356,639809,169963
Russia,Moscow Oblast,2021-01-02,158462,2928,114899,40635
Russia,Murmansk Oblast,2021-01-02,36618,659,33358,2601
Russia,Nenets Autonomous Okrug,2021-01-02,803,0,697,106
Russia,Nizhny Novgorod Oblast,2021-01-02,70820,1678,63055,6087
Russia,North Ossetia - Alania Republic,2021-01-02,12185,101,10786,1298
Russia,Novgorod Oblast,2021-01-02,18730,99,13895,4736
Russia,Novosibirsk Oblast,2021-01-02,28191,983,24367,2841
Russia,Omsk Oblast,2021-01-02,30623,886,27869,1868
Russia,Orel Oblast,2021-01-02,21716,273,19640,1803
Russia,Orenburg Oblast,2021-01-02,29104,349,25535,3220
Russia,Penza Oblast,2021-01-02,26445,323,21302,4820
Russia,Perm Krai,2021-01-02,31279,1154,25215,4910
Russia,Primorsky Krai,2021-01-02,29758,383,21339,8036
Russia,Pskov Oblast,2021-01-02,23868,100,12236,11532
Russia,Rostov Oblast,2021-01-02,52437,2086,42760,7591
Russia,Ryazan Oblast,2021-01-02,18431,165,16843,1423
Russia,Saint Petersburg,2021-01-02,249612,7845,152450,89317
Russia,Sakha (Yakutiya) Republic,2021-01-02,26722,396,24174,2152
Russia,Sakhalin Oblast,2021-01-02,16028,17,13541,2470
Russia,Samara Oblast,2021-01-02,32004,629,29579,1796
Russia,Saratov Oblast,2021-01-02,35861,423,30736,4702
Russia,Smolensk Oblast,2021-01-02,17376,341,13877,3158
Russia,Stavropol Krai,2021-01-02,35570,747,31974,2849
Russia,Sverdlovsk Oblast,2021-01-02,59389,1544,51737,6108
Russia,Tambov Oblast,2021-01-02,17971,190,16059,1722
Russia,Tatarstan Republic,2021-01-02,13460,189,10758,2513
Russia,Tomsk Oblast,2021-01-02,24763,218,20486,4059
Russia,Tula Oblast,2021-01-02,23257,767,20416,2074
Russia,Tver Oblast,2021-01-02,22733,456,17977,4300
Russia,Tyumen Oblast,2021-01-02,23678,204,22280,1194
Russia,Tyva Republic,2021-01-02,14804,157,13642,1005
Russia,Udmurt Republic,2021-01-02,20073,392,16413,3268
Russia,Ulyanovsk Oblast,2021-01-02,36862,474,33806,2582
