negara,provinsi,tanggal,terkonfirmasi,meninggal,sembuh,aktif
Russia,Vladimir Oblast,2021-02-11,25123,744,22186,2193
Russia,Volgograd Oblast,2021-02-11,45902,670,43864,1368
Russia,Vologda Oblast,2021-02-11,35755,691,30976,4088
Russia,Voronezh Oblast,2021-02-11,62272,1719,56028,4525
Russia,Yamalo-Nenets Autonomous Okrug,2021-02-11,36298,389,33554,2355
Russia,Yaroslavl Oblast,2021-02-11,30097,344,28310,1443
Russia,Zabaykalsky Krai,2021-02-11,36394,499,34506,1389
Russia,Adygea Republic,2021-02-12,13475,133,11676,1666
Russia,Altai Krai,2021-02-12,41128,1334,36751,3043
Russia,Altai Republic,2021-02-12,15842,140,15150,552
Russia,Amur Oblast,2021-02-12,20330,148,18731,1451
Russia,Arkhangelsk Oblast,2021-02-12,53999,537,47855,5607
Russia,Astrakhan Oblast,2021-02-12,26320,513,16542,9265
Russia,Bashkortostan Republic,2021-02-12,26214,220,20014,5980
Russia,Belgorod Oblast,2021-02-12,29444,433,26601,2410
Russia,Bryansk Oblast,2021-02-12,31040,248,29653,1139
Russia,Buryatia Republic,2021-02-12,31978,687,29585,1706
Russia,Chechen Republic,2021-02-12,11100,110,10337,653
Russia,Chelyabinsk Oblast,2021-02-12,47074,892,39305,6877
Russia,Chukotka Autonomous Okrug,2021-02-12,664,4,607,53
Russia,Chuvashia Republic,2021-02-12,20460,944,18644,872
Russia,Dagestan Republic,2021-02-12,28882,1289,26360,1233
Russia,Ingushetia Republic,2021-02-12,14366,165,12549,1652
Russia,Irkutsk Oblast,2021-02-12,51772,1664,47329,2779
Russia,Ivanovo Oblast,2021-02-12,28684,836,26427,1421
Russia,Jewish Autonomous Okrug,2021-02-12,4259,110,4052,97
Russia,Kabardino-Balkarian Republic,2021-02-12,19785,353,18458,974
Russia,Kaliningrad Oblast,2021-02-12,26155,232,23490,2433
Russia,Kalmykia Republic,2021-02-12,18242,276,17182,784
Russia,Kaluga Oblast,2021-02-12,27770,237,25513,2020
Russia,Kamchatka Krai,2021-02-12,12894,101,11465,1328
Russia,Karachay-Cherkess Republic,2021-02-12,18302,60,16643,1599
Russia,Karelia Republic,2021-02-12,38369,265,33803,4301
Russia,Kemerovo Oblast,2021-02-12,30498,543,29289,666
Russia,Khabarovsk Krai,2021-02-12,47139,267,43383,3489
Russia,Khakassia Republic,2021-02-12,20924,417,19538,969
Russia,Khanty-Mansi Autonomous Okrug,2021-02-12,49399,700,46911,1788
Russia,Kirov Oblast,2021-02-12,34318,278,29113,4927
Russia,Komi Republic,2021-02-12,37968,728,36638,602
Russia,Kostroma Oblast,2021-02-12,17665,326,14651,2688
Russia,Krasnodar Krai,2021-02-12,35844,1677,28354,5813
Russia,Krasnoyarsk Krai,2021-02-12,59675,2590,54845,2240
Russia,Kurgan Oblast,2021-02-12,16346,238,14433,1675
Russia,Kursk Oblast,2021-02-12,28333,409,25079,2845
Russia,Leningrad Oblast,2021-02-12,33210,487,30133,2590
Russia,Lipetsk Oblast,2021-02-12,22658,396,19086,3176
Russia,Magadan Oblast,2021-02-12,8026,94,7621,311
Russia,Mari El Republic,2021-02-12,11177,160,9896,1121
Russia,Mordovia Republic,2021-02-12,16879,148,14591,2140
Russia,Moscow,2021-02-12,952656,14223,865100,73333
Russia,Moscow Oblast,2021-02-12,203319,4177,164682,34460
Russia,Murmansk Oblast,2021-02-12,44939,875,42768,1296
Russia,Nenets Autonomous Okrug,2021-02-12,969,2,856,111
Russia,Nizhny Novgorod Oblast,2021-02-12,89996,2273,81984,5739
Russia,North Ossetia - Alania Republic,2021-02-12,15101,142,13612,1347
Russia,Novgorod Oblast,2021-02-12,25621,113,22076,3432
Russia,Novosibirsk Oblast,2021-02-12,33819,1315,31707,797
Russia,Omsk Oblast,2021-02-12,39185,1142,35817,2226
Russia,Orel Oblast,2021-02-12,28554,395,25521,2638
Russia,Orenburg Oblast,2021-02-12,35867,534,32191,3142
Russia,Penza Oblast,2021-02-12,35265,409,28645,6211
Russia,Perm Krai,2021-02-12,43104,1567,35801,5736
Russia,Primorsky Krai,2021-02-12,38615,587,30948,7080
Russia,Pskov Oblast,2021-02-12,30476,150,19587,10739
Russia,Rostov Oblast,2021-02-12,68007,2909,58234,6864
Russia,Ryazan Oblast,2021-02-12,23142,258,21200,1684
Russia,Saint Petersburg,2021-02-12,350874,10356,263483,77035
Russia,Sakha (Yakutiya) Republic,2021-02-12,31688,505,29518,1665
Russia,Sakhalin Oblast,2021-02-12,20616,30,18969,1617
Russia,Samara Oblast,2021-02-12,43913,883,40360,2670
Russia,Saratov Oblast,2021-02-12,46075,594,40882,4599
Russia,Smolensk Oblast,2021-02-12,24400,514,21986,1900
Russia,Stavropol Krai,2021-02-12,45151,994,40705,3452
Russia,Sverdlovsk Oblast,2021-02-12,74224,2197,67018,5009
Russia,Tambov Oblast,2021-02-12,24247,303,22173,1771
Russia,Tatarstan Republic,2021-02-12,17026,294,13632,3100
Russia,Tomsk Oblast,2021-02-12,29272,285,26768,2219
Russia,Tula Oblast,2021-02-12,30881,1121,28364,1396
Russia,Tver Oblast,2021-02-12,31268,559,27750,2959
Russia,Tyumen Oblast,2021-02-12,29792,265,27981,1546
Russia,Tyva Republic,2021-02-12,15568,190,14436,942
Russia,Udmurt Republic,2021-02-12,26712,554,23402,2756
Russia,Ulyanovsk Oblast,2021-02-12,45753,700,42371,2682
Russia,Vladimir Oblast,2021-02-12,25265,751,22326,2188
Russia,Volgograd Oblast,2021-02-12,46118,677,44079,1362
Russia,Vologda Oblast,2021-02-12,35989,697,31217,4075
Russia,Voronezh Oblast,2021-02-12,62631,1743,56392,4496
Russia,Yamalo-Nenets Autonomous Okrug,2021-02-12,36356,390,33671,2295
Russia,Yaroslavl Oblast,2021-02-12,30274,348,28476,1450
Russia,Zabaykalsky Krai,2021-02-12,36563,501,34718,1344
Russia,Adygea Republic,2021-02-13,13502,135,11722,1645
Russia,Altai Krai,2021-02-13,41296,1348,36913,3035
Russia,Altai Republic,2021-02-13,15880,140,15243,497
Russia,Amur Oblast,2021-02-13,20365,149,18772,1444
Russia,Arkhangelsk Oblast,2021-02-13,54197,552,48166,5479
Russia,Astrakhan Oblast,2021-02-13,26466,517,16778,9171
Russia,Bashkortostan Republic,2021-02-13,26374,224,20267,5883
Russia,Belgorod Oblast,2021-02-13,29604,438,26742,2424
Russia,Bryansk Oblast,2021-02-13,31180,248,29862,1070
Russia,Buryatia Republic,2021-02-13,32086,688,29711,1687
Russia,Chechen Republic,2021-02-13,11114,110,10367,637
Russia,Chelyabinsk Oblast,2021-02-13,47336,900,39807,6629
Russia,Chukotka Autonomous Okrug,2021-02-13,666,4,607,55
Russia,Chuvashia Republic,2021-02-13,20528,950,18725,853
Russia,Dagestan Republic,2021-02-13,28955,1295,26451,1209
Russia,Ingushetia Republic,2021-02-13,14397,165,12586,1646
Russia,Irkutsk Oblast,2021-02-13,52031,1671,47730,2630
Russia,Ivanovo Oblast,2021-02-13,28830,843,26476,1511
Russia,Jewish Autonomous Okrug,2021-02-13,4264,111,4058,95
Russia,Kabardino-Balkarian Republic,2021-02-13,19865,353,18539,973
Russia,Kaliningrad Oblast,2021-02-13,26308,232,23651,2425
Russia,Kalmykia Republic,2021-02-13,18302,278,17242,782
Russia,Kaluga Oblast,2021-02-13,27910,239,25655,2016
Russia,Kamchatka Krai,2021-02-13,12938,104,11512,1322
Russia,Karachay-Cherkess Republic,2021-02-13,18358,60,16691,1607
Russia,Karelia Republic,2021-02-13,38547,268,34025,4254
Russia,Kemerovo Oblast,2021-02-13,30580,544,29391,645
Russia,Khabarovsk Krai,2021-02-13,47300,268,43624,3408
Russia,Khakassia Republic,2021-02-13,20951,420,19579,952
Russia,Khanty-Mansi Autonomous Okrug,2021-02-13,49537,704,47066,1767
Russia,Kirov Oblast,2021-02-13,34467,279,29264,4924
Russia,Komi Republic,2021-02-13,38093,729,36761,603
Russia,Kostroma Oblast,2021-02-13,17723,329,14708,2686
Russia,Krasnodar Krai,2021-02-13,36014,1694,28738,5582
Russia,Krasnoyarsk Krai,2021-02-13,59893,2602,55000,2291
Russia,Kurgan Oblast,2021-02-13,16434,242,14518,1674
Russia,Kursk Oblast,2021-02-13,28496,413,25248,2835
Russia,Leningrad Oblast,2021-02-13,33403,497,30260,2646
Russia,Lipetsk Oblast,2021-02-13,22799,398,19220,3181
Russia,Magadan Oblast,2021-02-13,8038,94,7646,298
Russia,Mari El Republic,2021-02-13,11220,160,9934,1126
Russia,Mordovia Republic,2021-02-13,16946,149,14684,2113
Russia,Moscow,2021-02-13,954619,14290,867780,72549
Russia,Moscow Oblast,2021-02-13,204203,4208,165578,34417
Russia,Murmansk Oblast,2021-02-13,45084,880,42893,1311
Russia,Nenets Autonomous Okrug,2021-02-13,977,3,857,117
Russia,Nizhny Novgorod Oblast,2021-02-13,90437,2285,82427,5725
Russia,North Ossetia - Alania Republic,2021-02-13,15148,142,13666,1340
Russia,Novgorod Oblast,2021-02-13,25741,113,22198,3430
Russia,Novosibirsk Oblast,2021-02-13,33947,1324,31801,822
Russia,Omsk Oblast,2021-02-13,39343,1146,35951,2246
Russia,Orel Oblast,2021-02-13,28692,400,25660,2632
Russia,Orenburg Oblast,2021-02-13,36007,538,32347,3122
Russia,Penza Oblast,2021-02-13,35471,411,28946,6114
Russia,Perm Krai,2021-02-13,43367,1577,36090,5700
Russia,Primorsky Krai,2021-02-13,38757,591,31326,6840
Russia,Pskov Oblast,2021-02-13,30591,152,19705,10734
Russia,Rostov Oblast,2021-02-13,68349,2932,58608,6809
Russia,Ryazan Oblast,2021-02-13,23238,261,21292,1685
Russia,Saint Petersburg,2021-02-13,352004,10408,266161,75435
Russia,Sakha (Yakutiya) Republic,2021-02-13,31756,505,29568,1683
Russia,Sakhalin Oblast,2021-02-13,20687,30,19094,1563
Russia,Samara Oblast,2021-02-13,44211,890,40609,2712
Russia,Saratov Oblast,2021-02-13,46304,597,41137,4570
Russia,Smolensk Oblast,2021-02-13,24554,519,22144,1891
Russia,Stavropol Krai,2021-02-13,45349,999,40962,3388
Russia,Sverdlovsk Oblast,2021-02-13,74496,2210,67303,4983
Russia,Tambov Oblast,2021-02-13,24382,306,22307,1769
Russia,Tatarstan Republic,2021-02-13,17096,296,13682,3118
Russia,Tomsk Oblast,2021-02-13,29343,290,26921,2132
Russia,Tula Oblast,2021-02-13,31028,1130,28540,1358
Russia,Tver Oblast,2021-02-13,31434,565,27969,2900
Russia,Tyumen Oblast,2021-02-13,29912,265,28098,1549
Russia,Tyva Republic,2021-02-13,15579,190,14450,939
Russia,Udmurt Republic,2021-02-13,26810,559,23500,2751
Russia,Ulyanovsk Oblast,2021-02-13,45887,700,42520,2667
Russia,Vladimir Oblast,2021-02-13,25409,759,22463,2187
Russia,Volgograd Oblast,2021-02-13,46336,682,44289,1365
Russia,Vologda Oblast,2021-02-13,36221,704,31453,4064
Russia,Voronezh Oblast,2021-02-13,62987,1758,56752,4477
Russia,Yamalo-Nenets Autonomous Okrug,2021-02-13,36411,391,33780,2240
Russia,Yaroslavl Oblast,2021-02-13,30447,351,28643,1453
Russia,Zabaykalsky Krai,2021-02-13,36731,502,34832,1397
Russia,Adygea Republic,2021-02-14,13533,135,11759,1639
Russia,Altai Krai,2021-02-14,41463,1361,37090,3012
Russia,Altai Republic,2021-02-14,15913,142,15306,465
Russia,Amur Oblast,2021-02-14,20401,151,18805,1445
Russia,Arkhangelsk Oblast,2021-02-14,54392,552,48397,5443
Russia,Astrakhan Oblast,2021-02-14,26607,520,16937,9150
Russia,Bashkortostan Republic,2021-02-14,26532,228,20552,5752
Russia,Belgorod Oblast,2021-02-14,29759,444,26811,2504
Russia,Bryansk Oblast,2021-02-14,31318,249,30065,1004
Russia,Buryatia Republic,2021-02-14,32191,689,29794,1708
Russia,Chechen Republic,2021-02-14,11127,110,10390,627
Russia,Chelyabinsk Oblast,2021-02-14,47596,909,40282,6405
Russia,Chukotka Autonomous Okrug,2021-02-14,668,4,610,54
Russia,Chuvashia Republic,2021-02-14,20594,957,18794,843
Russia,Dagestan Republic,2021-02-14,29027,1297,26551,1179
Russia,Ingushetia Republic,2021-02-14,14429,168,12617,1644
Russia,Irkutsk Oblast,2021-02-14,52281,1679,48084,2518
Russia,Ivanovo Oblast,2021-02-14,28974,849,26603,1522
Russia,Jewish Autonomous Okrug,2021-02-14,4269,111,4064,94
Russia,Kabardino-Balkarian Republic,2021-02-14,19944,354,18615,975
Russia,Kaliningrad Oblast,2021-02-14,26468,232,23802,2434
Russia,Kalmykia Republic,2021-02-14,18357,279,17297,781
Russia,Kaluga Oblast,2021-02-14,28051,240,25784,2027
Russia,Kamchatka Krai,2021-02-14,12982,106,11517,1359
Russia,Karachay-Cherkess Republic,2021-02-14,18412,60,16748,1604
Russia,Karelia Republic,2021-02-14,38724,271,34224,4229
Russia,Kemerovo Oblast,2021-02-14,30661,545,29514,602
Russia,Khabarovsk Krai,2021-02-14,47454,269,43856,3329
Russia,Khakassia Republic,2021-02-14,20976,424,19604,948
Russia,Khanty-Mansi Autonomous Okrug,2021-02-14,49681,705,47214,1762
Russia,Kirov Oblast,2021-02-14,34614,280,29408,4926
Russia,Komi Republic,2021-02-14,38217,730,36873,614
Russia,Kostroma Oblast,2021-02-14,17777,329,14722,2726
Russia,Krasnodar Krai,2021-02-14,36181,1711,29077,5393
Russia,Krasnoyarsk Krai,2021-02-14,60103,2618,55255,2230
Russia,Kurgan Oblast,2021-02-14,16525,245,14597,1683
Russia,Kursk Oblast,2021-02-14,28657,416,25392,2849
Russia,Leningrad Oblast,2021-02-14,33593,502,30357,2734
Russia,Lipetsk Oblast,2021-02-14,22939,399,19264,3276
Russia,Magadan Oblast,2021-02-14,8048,94,7665,289
Russia,Mari El Republic,2021-02-14,11262,160,9966,1136
Russia,Mordovia Republic,2021-02-14,17012,150,14772,2090
Russia,Moscow,2021-02-14,956178,14348,869869,71961
Russia,Moscow Oblast,2021-02-14,205031,4237,166380,34414
Russia,Murmansk Oblast,2021-02-14,45227,883,43008,1336
Russia,Nenets Autonomous Okrug,2021-02-14,984,3,857,124
Russia,Nizhny Novgorod Oblast,2021-02-14,90871,2294,82864,5713
Russia,North Ossetia - Alania Republic,2021-02-14,15194,142,13707,1345
Russia,Novgorod Oblast,2021-02-14,25855,113,22302,3440
Russia,Novosibirsk Oblast,2021-02-14,34068,1330,31868,870
Russia,Omsk Oblast,2021-02-14,39482,1151,36053,2278
Russia,Orel Oblast,2021-02-14,28829,403,25785,2641
Russia,Orenburg Oblast,2021-02-14,36146,541,32508,3097
Russia,Penza Oblast,2021-02-14,35674,412,29164,6098
Russia,Perm Krai,2021-02-14,43627,1589,36197,5841
Russia,Primorsky Krai,2021-02-14,38887,594,31523,6770
Russia,Pskov Oblast,2021-02-14,30702,153,19742,10807
Russia,Rostov Oblast,2021-02-14,68688,2935,58887,6866
Russia,Ryazan Oblast,2021-02-14,23332,263,21376,1693
Russia,Saint Petersburg,2021-02-14,353103,10463,267706,74934
Russia,Sakha (Yakutiya) Republic,2021-02-14,31828,507,29729,1592
Russia,Sakhalin Oblast,2021-02-14,20760,30,19211,1519
Russia,Samara Oblast,2021-02-14,44510,890,40854,2766
Russia,Saratov Oblast,2021-02-14,46530,601,41384,4545
Russia,Smolensk Oblast,2021-02-14,24709,524,22238,1947
Russia,Stavropol Krai,2021-02-14,45544,1005,41065,3474
Russia,Sverdlovsk Oblast,2021-02-14,74764,2221,67580,4963
Russia,Tambov Oblast,2021-02-14,24516,309,22363,1844
Russia,Tatarstan Republic,2021-02-14,17167,297,13695,3175
Russia,Tomsk Oblast,2021-02-14,29411,290,27068,2053
Russia,Tula Oblast,2021-02-14,31175,1138,28711,1326
Russia,Tver Oblast,2021-02-14,31598,569,28186,2843
Russia,Tyumen Oblast,2021-02-14,30028,265,28199,1564
Russia,Tyva Republic,2021-02-14,15583,190,14459,934
Russia,Udmurt Republic,2021-02-14,26908,563,23599,2746
Russia,Ulyanovsk Oblast,2021-02-14,46018,706,42649,2663
Russia,Vladimir Oblast,2021-02-14,25552,767,22595,2190
Russia,Volgograd Oblast,2021-02-14,46549,689,44488,1372
Russia,Vologda Oblast,2021-02-14,36451,708,31670,4073
Russia,Voronezh Oblast,2021-02-14,63341,1779,57072,4490
Russia,Yamalo-Nenets Autonomous Okrug,2021-02-14,36465,392,33883,2190
Russia,Yaroslavl Oblast,2021-02-14,30617,354,28803,1460
Russia,Zabaykalsky Krai,2021-02-14,36892,503,34995,1394
Russia,Adygea Republic,2021-02-15,13562,137,11793,1632
Russia,Altai Krai,2021-02-15,41628,1373,37201,3054
Russia,Altai Republic,2021-02-15,15935,143,15384,408
Russia,Amur Oblast,2021-02-15,20438,151,18834,1453
Russia,Arkhangelsk Oblast,2021-02-15,54586,552,48589,5445
Russia,Astrakhan Oblast,2021-02-15,26745,523,17074,9148
Russia,Bashkortostan Republic,2021-02-15,26687,232,20753,5702
Russia,Belgorod Oblast,2021-02-15,29908,448,26831,2629
Russia,Bryansk Oblast,2021-02-15,31451,249,30247,955
Russia,Buryatia Republic,2021-02-15,32296,691,29874,1731
Russia,Chechen Republic,2021-02-15,11141,110,10427,604
Russia,Chelyabinsk Oblast,2021-02-15,47857,916,40852,6089
Russia,Chukotka Autonomous Okrug,2021-02-15,670,4,611,55
Russia,Chuvashia Republic,2021-02-15,20661,961,18865,835
Russia,Dagestan Republic,2021-02-15,29099,1297,26633,1169
Russia,Ingushetia Republic,2021-02-15,14459,168,12622,1669
Russia,Irkutsk Oblast,2021-02-15,52529,1686,48271,2572
Russia,Ivanovo Oblast,2021-02-15,29117,856,26683,1578
Russia,Jewish Autonomous Okrug,2021-02-15,4274,115,4071,88
Russia,Kabardino-Balkarian Republic,2021-02-15,20023,354,18692,977
Russia,Kaliningrad Oblast,2021-02-15,26616,232,23933,2451
Russia,Kalmykia Republic,2021-02-15,18407,280,17345,782
Russia,Kaluga Oblast,2021-02-15,28190,240,25885,2065
Russia,Kamchatka Krai,2021-02-15,13024,110,11522,1392
Russia,Karachay-Cherkess Republic,2021-02-15,18464,60,16799,1605
Russia,Karelia Republic,2021-02-15,38889,271,34410,4208
Russia,Kemerovo Oblast,2021-02-15,30740,547,29635,558
Russia,Khabarovsk Krai,2021-02-15,47606,270,44041,3295
Russia,Khakassia Republic,2021-02-15,21006,424,19615,967
Russia,Khanty-Mansi Autonomous Okrug,2021-02-15,49825,707,47360,1758
Russia,Kirov Oblast,2021-02-15,34759,281,29545,4933
Russia,Komi Republic,2021-02-15,38338,730,36992,616
Russia,Kostroma Oblast,2021-02-15,17832,330,14732,2770
Russia,Krasnodar Krai,2021-02-15,36344,1728,29412,5204
Russia,Krasnoyarsk Krai,2021-02-15,60306,2633,55555,2118
Russia,Kurgan Oblast,2021-02-15,16615,252,14668,1695
Russia,Kursk Oblast,2021-02-15,28817,418,25518,2881
Russia,Leningrad Oblast,2021-02-15,33784,510,30446,2828
Russia,Lipetsk Oblast,2021-02-15,23079,401,19324,3354
Russia,Magadan Oblast,2021-02-15,8058,94,7682,282
Russia,Mari El Republic,2021-02-15,11304,161,9992,1151
Russia,Mordovia Republic,2021-02-15,17078,150,14863,2065
Russia,Moscow,2021-02-15,957996,14404,871836,71756
Russia,Moscow Oblast,2021-02-15,205832,4265,167146,34421
Russia,Murmansk Oblast,2021-02-15,45371,886,43107,1378
Russia,Nenets Autonomous Okrug,2021-02-15,987,3,857,127
Russia,Nizhny Novgorod Oblast,2021-02-15,91302,2303,83260,5739
Russia,North Ossetia - Alania Republic,2021-02-15,15238,142,13746,1350
Russia,Novgorod Oblast,2021-02-15,25965,113,22399,3453
Russia,Novosibirsk Oblast,2021-02-15,34191,1338,31909,944
Russia,Omsk Oblast,2021-02-15,39613,1156,36152,2305
Russia,Orel Oblast,2021-02-15,28964,405,25888,2671
Russia,Orenburg Oblast,2021-02-15,36284,547,32661,3076
Russia,Penza Oblast,2021-02-15,35878,412,29364,6102
Russia,Perm Krai,2021-02-15,43885,1597,36238,6050
Russia,Primorsky Krai,2021-02-15,39012,597,31675,6740
Russia,Pskov Oblast,2021-02-15,30806,155,19827,10824
Russia,Rostov Oblast,2021-02-15,69025,2943,59178,6904
Russia,Ryazan Oblast,2021-02-15,23424,263,21455,1706
Russia,Saint Petersburg,2021-02-15,354196,10512,269203,74481
Russia,Sakha (Yakutiya) Republic,2021-02-15,31895,509,29751,1635
Russia,Sakhalin Oblast,2021-02-15,20829,31,19340,1458
Russia,Samara Oblast,2021-02-15,44807,890,41095,2822
Russia,Saratov Oblast,2021-02-15,46752,605,41639,4508
Russia,Smolensk Oblast,2021-02-15,24860,528,22294,2038
Russia,Stavropol Krai,2021-02-15,45719,1008,41140,3571
Russia,Sverdlovsk Oblast,2021-02-15,75027,2231,67854,4942
Russia,Tambov Oblast,2021-02-15,24648,312,22444,1892
Russia,Tatarstan Republic,2021-02-15,17237,299,13704,3234
Russia,Tomsk Oblast,2021-02-15,29478,290,27212,1976
Russia,Tula Oblast,2021-02-15,31320,1146,28881,1293
Russia,Tver Oblast,2021-02-15,31760,573,28400,2787
Russia,Tyumen Oblast,2021-02-15,30138,265,28293,1580
Russia,Tyva Republic,2021-02-15,15589,190,14462,937
Russia,Udmurt Republic,2021-02-15,27005,568,23696,2741
Russia,Ulyanovsk Oblast,2021-02-15,46147,713,42761,2673
Russia,Vladimir Oblast,2021-02-15,25693,774,22726,2193
Russia,Volgograd Oblast,2021-02-15,46759,695,44685,1379
Russia,Vologda Oblast,2021-02-15,36682,713,31895,4074
Russia,Voronezh Oblast,2021-02-15,63697,1779,57391,4527
Russia,Yamalo-Nenets Autonomous Okrug,2021-02-15,36516,393,33992,2131
Russia,Yaroslavl Oblast,2021-02-15,30784,357,28967,1460
Russia,Zabaykalsky Krai,2021-02-15,37047,505,35085,1457
Russia,Adygea Republic,2021-02-16,13589,137,11820,1632
Russia,Altai Krai,2021-02-16,41790,1384,37370,3036
Russia,Altai Republic,2021-02-16,15939,143,15410,386
Russia,Amur Oblast,2021-02-16,20472,153,18870,1449
Russia,Arkhangelsk Oblast,2021-02-16,54775,567,48783,5425
Russia,Astrakhan Oblast,2021-02-16,26876,527,17295,9054
Russia,Bashkortostan Republic,2021-02-16,26841,234,21006,5601
Russia,Belgorod Oblast,2021-02-16,30058,454,27047,2557
Russia,Bryansk Oblast,2021-02-16,31582,249,30417,916
Russia,Buryatia Republic,2021-02-16,32398,693,29955,1750
Russia,Chechen Republic,2021-02-16,11153,110,10450,593
Russia,Chelyabinsk Oblast,2021-02-16,48116,924,41496,5696
Russia,Chukotka Autonomous Okrug,2021-02-16,671,4,615,52
Russia,Chuvashia Republic,2021-02-16,20726,966,18938,822
Russia,Dagestan Republic,2021-02-16,29169,1301,26711,1157
Russia,Ingushetia Republic,2021-02-16,14490,169,12649,1672
Russia,Irkutsk Oblast,2021-02-16,52775,1692,48611,2472
Russia,Ivanovo Oblast,2021-02-16,29258,862,26764,1632
Russia,Jewish Autonomous Okrug,2021-02-16,4277,115,4075,87
Russia,Kabardino-Balkarian Republic,2021-02-16,20101,355,18770,976
Russia,Kaliningrad Oblast,2021-02-16,26754,232,24069,2453
Russia,Kalmykia Republic,2021-02-16,18456,282,17397,777
Russia,Kaluga Oblast,2021-02-16,28332,240,26018,2074
Russia,Kamchatka Krai,2021-02-16,13066,115,11560,1391
Russia,Karachay-Cherkess Republic,2021-02-16,18517,60,16843,1614
Russia,Karelia Republic,2021-02-16,39052,274,34607,4171
Russia,Kemerovo Oblast,2021-02-16,30818,548,29741,529
Russia,Khabarovsk Krai,2021-02-16,47749,271,44206,3272
Russia,Khakassia Republic,2021-02-16,21032,425,19636,971
Russia,Khanty-Mansi Autonomous Okrug,2021-02-16,49960,712,47507,1741
Russia,Kirov Oblast,2021-02-16,34901,282,29690,4929
Russia,Komi Republic,2021-02-16,38458,733,37117,608
Russia,Kostroma Oblast,2021-02-16,17878,330,14789,2759
Russia,Krasnodar Krai,2021-02-16,36511,1743,29653,5115
Russia,Krasnoyarsk Krai,2021-02-16,60501,2645,55755,2101
Russia,Kurgan Oblast,2021-02-16,16702,259,14757,1686
Russia,Kursk Oblast,2021-02-16,28975,421,25663,2891
Russia,Leningrad Oblast,2021-02-16,33973,522,30598,2853
Russia,Lipetsk Oblast,2021-02-16,23218,405,19436,3377
Russia,Magadan Oblast,2021-02-16,8067,94,7699,274
Russia,Mari El Republic,2021-02-16,11345,162,10031,1152
Russia,Mordovia Republic,2021-02-16,17143,150,14955,2038
Russia,Moscow,2021-02-16,959405,14464,873898,71043
Russia,Moscow Oblast,2021-02-16,206475,4297,168010,34168
Russia,Murmansk Oblast,2021-02-16,45513,892,43205,1416
Russia,Nenets Autonomous Okrug,2021-02-16,987,3,859,125
Russia,Nizhny Novgorod Oblast,2021-02-16,91718,2313,83686,5719
Russia,North Ossetia - Alania Republic,2021-02-16,15280,144,13791,1345
Russia,Novgorod Oblast,2021-02-16,26076,113,22508,3455
Russia,Novosibirsk Oblast,2021-02-16,34311,1345,31982,984
Russia,Omsk Oblast,2021-02-16,39686,1160,36236,2290
Russia,Orel Oblast,2021-02-16,29094,410,26014,2670
Russia,Orenburg Oblast,2021-02-16,36404,551,32828,3025
Russia,Penza Oblast,2021-02-16,36078,415,29715,5948
Russia,Perm Krai,2021-02-16,44138,1607,36351,6180
Russia,Primorsky Krai,2021-02-16,39131,600,31994,6537
Russia,Pskov Oblast,2021-02-16,30864,157,19934,10773
Russia,Rostov Oblast,2021-02-16,69357,2954,59506,6897
Russia,Ryazan Oblast,2021-02-16,23515,266,21549,1700
Russia,Saint Petersburg,2021-02-16,355278,10560,272134,72584
Russia,Sakha (Yakutiya) Republic,2021-02-16,31958,509,29835,1614
Russia,Sakhalin Oblast,2021-02-16,20893,31,19473,1389
Russia,Samara Oblast,2021-02-16,45104,893,41379,2832
Russia,Saratov Oblast,2021-02-16,46973,609,41888,4476
Russia,Smolensk Oblast,2021-02-16,25007,535,22414,2058
Russia,Stavropol Krai,2021-02-16,45876,1011,41351,3514
Russia,Sverdlovsk Oblast,2021-02-16,75259,2243,68097,4919
Russia,Tambov Oblast,2021-02-16,24777,314,22547,1916
Russia,Tatarstan Republic,2021-02-16,17302,303,13782,3217
Russia,Tomsk Oblast,2021-02-16,29552,294,27341,1917
Russia,Tula Oblast,2021-02-16,31461,1153,29045,1263
Russia,Tver Oblast,2021-02-16,31921,577,28616,2728
Russia,Tyumen Oblast,2021-02-16,30231,266,28389,1576
Russia,Tyva Republic,2021-02-16,15591,190,14466,935
Russia,Udmurt Republic,2021-02-16,27101,571,23794,2736
Russia,Ulyanovsk Oblast,2021-02-16,46276,721,42888,2667
Russia,Vladimir Oblast,2021-02-16,25832,784,22861,2187
Russia,Volgograd Oblast,2021-02-16,46971,701,44894,1376
Russia,Vologda Oblast,2021-02-16,36905,719,32154,4032
Russia,Voronezh Oblast,2021-02-16,64055,1781,57742,4532
Russia,Yamalo-Nenets Autonomous Okrug,2021-02-16,36569,393,34095,2081
Russia,Yaroslavl Oblast,2021-02-16,30947,359,29146,1442
Russia,Zabaykalsky Krai,2021-02-16,37200,507,35301,1392
Russia,Adygea Republic,2021-02-17,13615,139,11855,1621
Russia,Altai Krai,2021-02-17,41949,1396,37533,3020
Russia,Altai Republic,2021-02-17,15954,143,15469,342
Russia,Amur Oblast,2021-02-17,20511,154,18914,1443
Russia,Arkhangelsk Oblast,2021-02-17,54961,567,48980,5414
Russia,Astrakhan Oblast,2021-02-17,27008,531,17552,8925
Russia,Bashkortostan Republic,2021-02-17,26994,238,21263,5493
Russia,Belgorod Oblast,2021-02-17,30202,458,27201,2543
Russia,Bryansk Oblast,2021-02-17,31714,250,30594,870
